Borough,Neighborhood,Venue_name,Venue_id,Venue_lat,Venue_lng,PriceTier,LikesCount,Dislike,Rating,BeenHereCount,PhotosCount,ReasonsCount,TipsCount
Bronx,Fordham,Michaelangelo's Coal Fired Brick Oven Pizza Restaurant,4af71916f964a520cf0522e3,40.85741189614754,-73.88646821282298,3,39,False,7.8,0,50,1,25
Bronx,Fordham,Madonia Bakery,4bb6496e46d4a59398fdc5c0,40.85441232476012,-73.88851590024353,0,73,False,8.8,0,59,1,31
Bronx,Fordham,Full Moon Pizzeria,4aee1220f964a520ced121e3,40.85550571220713,-73.88755698445503,2,116,False,8.7,0,96,1,42
Bronx,Fordham,Emilia's Restaurant,4b5a4c8ff964a52049bb28e3,40.85412010500031,-73.88890998498077,3,32,False,8.1,0,37,1,16
Bronx,Fordham,Best Italian Pizza,4bf329ef2d62952165ec5f58,40.86247494823356,-73.89689810209401,0,15,False,6.7,0,10,0,13
Bronx,Fordham,Arthur Avenue Fiasco,59050f51b23dfa5f6649e678,40.854844,-73.887908,0,10,False,8.2,0,10,0,4
Bronx,Fordham,Gerbasi Ristorante,4c9b9e7b9c663704b90463fd,40.85533418683699,-73.88780782046946,0,15,False,7.7,0,34,0,12
Bronx,Fordham,San Gennaro Ristorante,53ff939c498e6b601dfa3979,40.854217,-73.8891,0,17,False,7.1,0,10,0,1
Bronx,Fordham,Ann & Tony's - An Original Arthur Avenue Restaurant,4bc67f1104e8b713a833362d,40.855704465427415,-73.88744918407677,3,12,False,7.1,0,17,0,8
Bronx,Fordham,DeLillo Pastry Shop,4ae351a0f964a5205b9321e3,40.855363836665404,-73.88719756785711,0,86,False,8.4,0,96,1,28
Bronx,Fordham,Boca Restaurant And Lounge,5bb35ead2aff310039539a62,40.859905,-73.892728,0,0,False,0.0,0,1,0,0
Bronx,Fordham,Arthur Avenue Cafe,44941e38f964a52081341fe3,40.854068317744066,-73.8888375888388,2,4,False,6.0,0,11,0,4
Bronx,Fordham,Bella Pizza,575adfe8cd10afcbbf8d1a66,40.855,-73.89070500000003,0,2,False,0.0,0,0,0,0
Bronx,Fordham,Tapas Italiano Fusion Restaurant,57005f75498ed225ade7266d,40.854933,-73.888473,0,1,False,0.0,0,0,0,1
Bronx,Fordham,Gian Tina,4bf8272db182c9b6b2f9765a,40.855528,-73.88746,2,0,False,0.0,0,1,0,0
Bronx,West Farms,Goodfellas Pizza Shack,58b0a337b6e67d701092a556,40.834317,-73.879687,0,2,False,0.0,0,0,0,0
Bronx,West Farms,E&V Italian Bread Bakery,50cc16a8e4b0981e02c95c18,40.843879,-73.867503,0,4,False,0.0,0,10,0,4
Bronx,High  Bridge,Giovanni's Iv Italian Restraurant & Pizzeria,4e4d0448bd413c4cc66e03fb,40.83523897751604,-73.92086126199786,0,3,False,0.0,0,2,0,2
Bronx,Melrose,Porto Salvo,5956be26123a195de6701c2b,40.823887357573966,-73.91291020190582,0,10,False,8.4,0,18,0,5
Bronx,Melrose,Venice Restaurant & Pizzeria,4bb692672ea19521a6ecab2f,40.812799240478064,-73.90733521559764,3,8,False,6.8,0,5,0,9
